governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Harim,Qah,Al Waleed,"36.22949,36.703188",IS,250,259,214,156,880,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Wdhehee,"36.24321604,36.72528357",IS,116,109,93,65,383,0.35,1,1,1,0.35,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Aleppo,A'zaz,Azaz,Al Zeytoun (Olive),"36.541687,37.011161",IS,357,334,242,219,1152,1,1,1,1,0.5,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Aleppo,Jebel Saman,Atareb,Alabiad Camp (White Camp) (including Allhyba),"36.066744,36.884078",IS,351,343,203,200,1097,0.8,0,0,1,0.8,0,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,2. Mostly covered,4. Not covered - N/A
Idleb,Harim,Qah,Alebaa,"36.271637,36.696107",IS,203,196,173,152,725,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Aleman Billah,"36.276159,36.695039",IS,208,202,168,161,739,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Jisr-Ash-Shugur,Darkosh,Ali Bin Abi Taleb,"35.952744,36.219395",IS,444,455,340,308,1547,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Aqrabat,Aqrabat (Ahl Al-Athar),"36.221512,36.629882",IS,152,156,162,133,603,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Sarmada,Ariha,"36.15315,36.6902",IS,45,77,51,44,217,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Qah,Ataa 2 (Hamad Al Ammar 1/Dar Al Riaya - Orphans),"36.197274,36.766116",PC,174,150,211,25,560,1,0.8,0.8,0.8,0,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Qah,Ataa 3 (Al Ansar),"36.199102,36.631617",PC,120,116,210,180,626,1,0.8,0.8,0.8,0,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Qah,Ataa 4 (Al Reaya Al Islamiya),"36.281572732,36.713254884",PC,200,180,300,249,929,1,0.7,0.75,0.85,0,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered
